user_id,name,email,country,signup_date,loyalty_status,age,preferred_travel_type
101,Veronica Aguilar,harperleslie@hotmail.com,Tokelau,2022-10-17,Silver,60,Business
102,Joseph Strong,ahanson@gutierrez-johnston.com,Luxembourg,2023-04-03,Platinum,69,Business
103,Nicole Harrington,ashley55@yahoo.com,Costa Rica,2023-09-28,Silver,36,Romantic
104,Heather Taylor,dmartinez@nguyen.info,Kuwait,2024-11-16,Silver,70,Adventure
105,Christopher Braun,ashley18@stokes-gomez.com,Heard Island and McDonald Islands,2023-05-19,Silver,33,Cultural
106,Joseph Petersen,dustinhebert@harris.com,Slovenia,2024-05-17,Bronze,18,Business
107,Joseph Peterson,mariahill@webb.com,Malta,2024-07-28,Gold,52,Business
108,Mike Berry,kelsey15@hotmail.com,Norway,2024-09-29,Silver,56,Romantic
109,Meghan Mosley,bennettjohn@yahoo.com,Mauritius,2023-01-22,Platinum,67,Romantic
110,Natalie Clayton,ruizmark@gmail.com,Aruba,2025-04-08,Gold,52,Adventure
111,Heidi Floyd,maria76@berry-davis.info,Grenada,2023-04-12,Silver,23,Cultural
112,Amanda Green,efox@simpson.net,Tunisia,2024-03-13,Bronze,37,Business
113,Nicole Richardson,david97@hotmail.com,Grenada,2025-02-24,Silver,41,Cultural
114,Benjamin Smith,davidgonzalez@yahoo.com,Iraq,2024-05-13,Bronze,67,Business
115,Rachael Stewart,mayjordan@gmail.com,Belarus,2023-06-10,Platinum,59,Romantic
116,Amy Barber,qmendoza@juarez-jackson.com,Brazil,2022-12-27,Gold,32,Relaxation
117,Cynthia Stout,wilsonrachel@gmail.com,Maldives,2025-05-05,Bronze,53,Romantic
118,Connie Pratt,allison44@rivera-smith.info,Sweden,2023-12-04,Silver,43,Romantic
119,Kara Torres,jenkinssandra@west.com,Kuwait,2024-06-18,Silver,48,Romantic
120,Jacqueline Smith,davidsmith@gmail.com,Madagascar,2024-12-17,Silver,65,Relaxation
121,Heidi Dixon,stewartangela@fowler.com,Timor-Leste,2022-12-07,Gold,28,Relaxation
122,Andrew Thompson,bryantanna@beasley.biz,Montenegro,2022-11-12,Gold,54,Romantic
123,Dylan Kim,ericwilliams@wilson.net,Falkland Islands (Malvinas),2024-07-29,Silver,27,Relaxation
124,Kristin Wood,yvaldez@craig.com,Vanuatu,2023-08-19,Bronze,56,Adventure
125,Charles Robinson,manuelking@stephens-baker.net,Madagascar,2022-12-16,Gold,33,Cultural
126,Robert Maldonado,eduardo51@yahoo.com,Svalbard & Jan Mayen Islands,2024-11-22,Gold,51,Relaxation
127,Raymond Armstrong,omoore@hotmail.com,Pitcairn Islands,2023-12-16,Silver,60,Adventure
128,Michelle Fuller,brandyprice@cooper-bradford.com,Cambodia,2023-07-11,Silver,51,Adventure
129,Rick Martinez,qmorrison@gmail.com,Guernsey,2025-04-01,Platinum,20,Relaxation
130,Robert Johnson,ericamurray@gmail.com,Guinea,2023-11-28,Silver,56,Adventure
131,Sara Meyer,grimesmarie@hotmail.com,Guinea,2024-05-26,Silver,70,Romantic
132,Tiffany Mueller,powersvicki@gmail.com,Gibraltar,2023-01-15,Gold,52,Romantic
133,John Moore,kimberly71@vargas-thompson.biz,Kyrgyz Republic,2024-06-30,Silver,63,Romantic
134,Donald Johnson,uwright@scott.biz,Angola,2024-02-09,Gold,54,Cultural
135,Danielle Zimmerman,wboyd@barnes-martin.com,Guernsey,2024-01-14,Bronze,51,Relaxation
136,Donald Benton,sblair@hotmail.com,Algeria,2023-02-07,Gold,54,Adventure
137,Dawn Golden,denise77@ingram.info,Nauru,2023-03-02,Gold,19,Adventure
138,Heather Welch,hensleyjacqueline@yahoo.com,Ukraine,2022-12-25,Silver,57,Adventure
139,Dr. Richard Nelson,robin13@bowman.com,Zimbabwe,2022-07-09,Gold,19,Business
140,Dana Avila,kathrynsmith@ward.com,New Zealand,2023-12-09,Gold,29,Business
141,Stacey Jenkins,xelliott@harris-carter.info,Nepal,2023-08-12,Bronze,34,Relaxation
142,Tara Hopkins,sonya46@gmail.com,Senegal,2024-06-08,Silver,24,Relaxation
143,Meghan Cooper,tinahall@hotmail.com,Turks and Caicos Islands,2024-07-22,Gold,19,Romantic
144,Michelle Figueroa,oconner@yahoo.com,Sierra Leone,2024-03-12,Platinum,37,Relaxation
145,Richard Taylor,traviscook@hotmail.com,Samoa,2023-07-07,Silver,26,Cultural
146,Ann Smith,michael69@torres.biz,Germany,2022-05-27,Silver,21,Business
147,Erica Navarro,jwood@hotmail.com,Macao,2025-01-13,Silver,39,Romantic
148,Robert Perez,norma99@hotmail.com,Turkmenistan,2022-11-10,Platinum,22,Adventure
149,Lawrence Sweeney,monica87@hotmail.com,Finland,2024-07-12,Bronze,55,Cultural
150,Jared Morgan,francoalyssa@martinez.com,United States of America,2022-07-04,Bronze,38,Adventure
151,Travis Adams,ballen@gmail.com,Armenia,2022-07-15,Platinum,25,Relaxation
152,Kyle Warren,bstephens@nichols.com,Ghana,2022-08-06,Gold,23,Cultural
153,Adam Calderon,heather43@lucas.com,Oman,2023-06-24,Platinum,64,Cultural
154,Emily Glover,pauljones@brown-mayer.com,Turks and Caicos Islands,2024-08-08,Bronze,19,Cultural
155,Jessica Brown,maria23@brown.org,Turkey,2024-07-02,Bronze,45,Business
156,Matthew Morgan,waynewarner@norton.com,Angola,2023-02-27,Platinum,40,Adventure
157,Sherry Estrada,fshort@hotmail.com,Nauru,2024-01-27,Bronze,28,Business
158,Steven Watson,mcooper@coleman.com,Ecuador,2024-11-15,Gold,61,Adventure
159,Evelyn Carroll DDS,steven50@hotmail.com,Dominica,2023-03-14,Platinum,35,Adventure
160,Gary Hill,qwatson@gmail.com,Turkey,2023-10-15,Gold,47,Relaxation
161,Gail Brown,patricia14@dawson.com,Azerbaijan,2025-02-24,Silver,25,Adventure
162,Kimberly Warner,michael18@lester.net,United States Minor Outlying Islands,2022-08-18,Platinum,34,Business
163,Christopher Wilson,dylan66@howard.com,Equatorial Guinea,2024-02-27,Bronze,25,Romantic
164,Susan Simon,scottholmes@yahoo.com,Guam,2024-02-28,Bronze,30,Relaxation
165,Anna Brown,david65@yahoo.com,United States Virgin Islands,2022-12-31,Platinum,23,Romantic
166,Michael Estrada,reidterri@hotmail.com,Namibia,2024-06-12,Platinum,41,Relaxation
167,Katherine Pena,omiller@torres.com,Botswana,2024-08-15,Silver,53,Business
168,Jeffrey Norris,felliott@gmail.com,Ireland,2022-09-11,Platinum,66,Relaxation
169,Mr. Adam Graham,ballamy@gmail.com,United States Virgin Islands,2023-03-13,Bronze,63,Cultural
170,Heather Hayes,xbarker@shepherd.com,Belize,2023-01-26,Gold,22,Romantic
171,Eric Harris,timothyhayes@hotmail.com,Puerto Rico,2022-10-08,Silver,36,Adventure
172,Tommy Allen,victoriaellison@elliott.org,Swaziland,2023-06-17,Bronze,60,Romantic
173,Donald Burns,scott13@williams.com,Madagascar,2023-12-12,Bronze,44,Adventure
174,Michelle Fischer,angela72@hotmail.com,Bosnia and Herzegovina,2024-11-29,Platinum,58,Romantic
175,Vincent Cummings,zacharyanderson@carroll-hernandez.com,Iran,2023-10-22,Silver,68,Cultural
176,Julie Davis,bmurray@mclean.net,Guinea-Bissau,2022-12-05,Platinum,31,Cultural
177,Dawn Dixon,courtneypatterson@barton.com,Nepal,2025-03-10,Gold,27,Business
178,Kellie Mcmahon,jacqueline51@gmail.com,Suriname,2024-02-05,Silver,47,Relaxation
179,Kim Herrera,michael50@gmail.com,Ghana,2022-10-02,Platinum,36,Relaxation
180,Sarah Collins,joyce36@edwards.com,Montserrat,2023-09-04,Silver,55,Cultural
181,David Hodges,corey68@gmail.com,China,2023-05-31,Bronze,40,Cultural
182,Christopher Smith,orios@bailey.com,Jamaica,2024-05-18,Platinum,45,Business
183,Cody Singleton,lisawilliams@copeland.org,Saint Helena,2024-11-18,Platinum,49,Relaxation
184,April Romero,xfaulkner@gmail.com,Barbados,2025-03-01,Platinum,70,Adventure
185,Michael Keith,ucarrillo@gmail.com,Myanmar,2022-12-31,Silver,51,Business
186,Lisa Schmidt,craigtaylor@yahoo.com,Myanmar,2024-12-06,Silver,57,Relaxation
187,Aaron Cox,croberts@jones.com,Gabon,2025-04-06,Silver,69,Adventure
188,Anna Lee,tarmstrong@gmail.com,Slovakia (Slovak Republic),2024-03-23,Platinum,25,Business
189,Tanya Green,dustin00@yahoo.com,Uganda,2024-07-17,Platinum,26,Adventure
190,Katherine Davis,dustin72@hotmail.com,New Caledonia,2023-11-23,Platinum,61,Relaxation
191,Cody Bowman,deleonmichelle@yahoo.com,Kyrgyz Republic,2023-04-14,Silver,51,Relaxation
192,Eric Smith,garzaerin@yahoo.com,American Samoa,2024-01-22,Silver,70,Relaxation
193,Zachary Allen,mhaas@vargas-grant.com,Finland,2024-10-08,Bronze,37,Adventure
194,Danielle Mitchell,baileycarter@williams.com,Nauru,2023-03-02,Bronze,19,Romantic
195,Steven Cole,jessica77@hotmail.com,Germany,2023-05-18,Silver,33,Adventure
196,Christian Walker,mcdonaldcory@yahoo.com,Guatemala,2025-01-26,Bronze,18,Romantic
197,Alicia Anderson,zmorris@long.com,France,2024-07-27,Gold,40,Business
198,Maria Fisher,pricejared@baker-giles.org,Christmas Island,2025-01-30,Bronze,45,Relaxation
199,Erin Miller,thomasangela@yahoo.com,Albania,2022-11-05,Bronze,46,Adventure
200,Justin Thomas,jameswagner@yahoo.com,Sri Lanka,2023-05-05,Silver,59,Adventure
