booking_id,user_id,partner_id,booking_date,travel_date,amount_usd,destination_country,booking_status,days_to_travel,name,email,country_x,signup_date,loyalty_status,age,preferred_travel_type,partner_name,partner_type,country_y,rating
12,117,18,2023-06-18,2025-09-21,188.71,Saudi Arabia,Cancelled,826,Cynthia Stout,wilsonrachel@gmail.com,Maldives,2025-05-05,Bronze,53,Romantic,Cooke Inc,Hotel,Colombia,5.0
12,117,18,2023-06-18,2025-09-21,188.71,Saudi Arabia,Cancelled,826,Cynthia Stout,wilsonrachel@gmail.com,Maldives,2025-05-05,Bronze,53,Romantic,Cooke Inc,Hotel,Colombia,5.0
13,81,26,2023-08-21,2025-08-05,195.3,Tanzania,Cancelled,715,Wayne Davis,rodriguezstacy@gmail.com,Korea,2022-08-25,Silver,24,Cultural,"Jackson, Gallagher and Harrison",Airline,United States Virgin Islands,2.0
15,62,22,2023-09-03,2025-11-09,1795.06,Canada,Cancelled,798,Cindy Adkins,mhenson@johnson.com,Russian Federation,2024-06-07,Platinum,32,Adventure,Miranda-Walker,Hotel,Papua New Guinea,
16,127,28,2024-08-25,2025-11-17,1158.82,Faroe Islands,Confirmed,449,Raymond Armstrong,omoore@hotmail.com,Pitcairn Islands,2023-12-16,Silver,60,Adventure,"Lara, Peterson and Brown",Airline,Faroe Islands,4.0
16,127,28,2024-08-25,2025-11-17,1158.82,Faroe Islands,Confirmed,449,Raymond Armstrong,omoore@hotmail.com,Pitcairn Islands,2023-12-16,Silver,60,Adventure,"Lara, Peterson and Brown",Airline,Faroe Islands,2.0
17,82,17,2024-04-17,2025-12-17,333.94,Serbia,Confirmed,609,Connie Freeman,aaronfernandez@hotmail.com,Chad,2022-10-31,Silver,41,Business,Hernandez-House,Hotel,Suriname,
18,153,15,2025-02-24,2026-03-31,863.37,Poland,Cancelled,400,Adam Calderon,heather43@lucas.com,Oman,2023-06-24,Platinum,64,Cultural,"Martinez, Adams and Heath",Hotel,Fiji,
19,103,19,2025-03-10,2025-09-05,1774.64,Eritrea,Pending,179,Nicole Harrington,ashley55@yahoo.com,Costa Rica,2023-09-28,Silver,36,Romantic,Phillips LLC,Hotel,Iceland,
20,177,30,2024-11-08,2026-01-30,1828.91,Bolivia,Confirmed,448,Dawn Dixon,courtneypatterson@barton.com,Nepal,2025-03-10,Gold,27,Business,Williams and Sons,Airline,Liechtenstein,
21,34,6,2024-11-01,2025-06-18,399.78,Faroe Islands,Pending,229,Dominic Sanchez,brandon24@yahoo.com,Korea,2024-06-22,Platinum,66,Romantic,"Gardner, Davis and Weaver",Airline,Peru,
22,153,25,2023-07-26,2025-11-24,1051.33,Bangladesh,Pending,852,Adam Calderon,heather43@lucas.com,Oman,2023-06-24,Platinum,64,Cultural,"Harris, Mosley and Mcbride",Airline,Saint Martin,
23,28,7,2023-12-27,2026-01-21,1125.15,Kyrgyz Republic,Pending,756,Dale Rich,robert71@yahoo.com,Azerbaijan,2024-02-21,Silver,51,Adventure,Williams-Sexton,Hotel,United States of America,
24,57,14,2023-06-19,2026-01-04,1475.54,France,Cancelled,930,Sean Meyers,anitarodriguez@hotmail.com,Japan,2025-02-04,Bronze,30,Adventure,Howard Ltd,Airline,Tanzania,5.0
25,70,25,2023-06-10,2025-10-05,1685.54,Antarctica (the territory South of 60 deg S),Confirmed,848,Paul Sandoval,xharris@hotmail.com,Poland,2024-06-07,Bronze,69,Cultural,"Harris, Mosley and Mcbride",Airline,Saint Martin,4.0
26,61,26,2025-05-04,2026-05-08,1704.98,Austria,Pending,369,Philip Morgan,gregory82@schmidt-valencia.org,Reunion,2024-02-17,Silver,43,Cultural,"Jackson, Gallagher and Harrison",Airline,United States Virgin Islands,
27,68,30,2024-10-27,2025-06-15,101.89,Bhutan,Confirmed,231,Erin Brooks,qramos@yahoo.com,Namibia,2023-04-03,Gold,35,Relaxation,Williams and Sons,Airline,Liechtenstein,3.0
28,73,2,2024-11-29,2025-08-07,1841.56,Martinique,Pending,251,Heidi Caldwell,colemanryan@yahoo.com,Djibouti,2023-10-07,Silver,33,Adventure,Watts PLC,Hotel,Tuvalu,
29,24,14,2025-02-18,2025-05-25,1367.58,Paraguay,Cancelled,96,Sonya Stewart,hshaw@lopez.info,Cuba,2023-09-15,Gold,33,Cultural,Howard Ltd,Airline,Tanzania,2.0
29,24,14,2025-02-18,2025-05-25,1367.58,Paraguay,Cancelled,96,Sonya Stewart,hshaw@lopez.info,Cuba,2023-09-15,Gold,33,Cultural,Howard Ltd,Airline,Tanzania,3.0
30,175,27,2024-04-15,2025-10-16,664.54,Micronesia,Pending,549,Vincent Cummings,zacharyanderson@carroll-hernandez.com,Iran,2023-10-22,Silver,68,Cultural,"Hunt, Peterson and Chavez",Airline,Turkmenistan,
31,105,13,2024-06-15,2026-01-30,1079.35,Turkey,Confirmed,594,Christopher Braun,ashley18@stokes-gomez.com,Heard Island and McDonald Islands,2023-05-19,Silver,33,Cultural,Barker LLC,Hotel,Mali,
32,112,10,2024-07-06,2025-07-14,1774.44,Sierra Leone,Confirmed,373,Amanda Green,efox@simpson.net,Tunisia,2024-03-13,Bronze,37,Business,"Porter, Hampton and Sanchez",Airline,Iran,
33,145,18,2024-04-21,2025-08-01,1691.75,Belize,Confirmed,467,Richard Taylor,traviscook@hotmail.com,Samoa,2023-07-07,Silver,26,Cultural,Cooke Inc,Hotel,Colombia,1.0
34,124,4,2023-07-20,2025-05-26,555.09,Guernsey,Cancelled,676,Kristin Wood,yvaldez@craig.com,Vanuatu,2023-08-19,Bronze,56,Adventure,Nash-Spencer,Hotel,Costa Rica,
35,3,24,2024-04-20,2026-02-03,347.82,Lithuania,Cancelled,654,Deborah Hughes,fdavis@gmail.com,Macao,2024-02-09,Silver,59,Romantic,Gonzalez and Sons,Hotel,Singapore,3.0
36,13,22,2025-04-23,2025-09-26,125.1,Greece,Cancelled,156,Kendra Johnson,cruzvictoria@salazar-stanton.net,Kenya,2022-07-04,Bronze,64,Cultural,Miranda-Walker,Hotel,Papua New Guinea,4.0
37,75,18,2025-03-27,2026-04-12,529.83,Rwanda,Confirmed,381,Julia Robinson,mcfarlandbenjamin@hotmail.com,Syrian Arab Republic,2022-11-24,Platinum,36,Adventure,Cooke Inc,Hotel,Colombia,
38,182,11,2024-09-19,2026-01-12,1917.51,Estonia,Confirmed,480,Christopher Smith,orios@bailey.com,Jamaica,2024-05-18,Platinum,45,Business,"Hawkins, Ward and Wagner",Hotel,Iceland,3.0
39,191,2,2024-12-09,2025-09-10,1767.13,Palestinian Territory,Pending,275,Cody Bowman,deleonmichelle@yahoo.com,Kyrgyz Republic,2023-04-14,Silver,51,Relaxation,Watts PLC,Hotel,Tuvalu,
40,9,20,2024-07-11,2026-01-08,1117.75,Bosnia and Herzegovina,Pending,546,Cesar Payne,garciakristine@montgomery.com,British Virgin Islands,2024-06-14,Platinum,54,Business,Jones-Yates,Hotel,Eritrea,3.0
41,131,12,2025-05-08,2026-05-06,1375.7,Taiwan,Pending,363,Sara Meyer,grimesmarie@hotmail.com,Guinea,2024-05-26,Silver,70,Romantic,Hernandez Group,Airline,Monaco,5.0
42,8,15,2024-05-16,2025-08-19,1688.19,Sudan,Cancelled,460,Victoria Stevens,pstewart@quinn.com,Japan,2022-06-01,Bronze,33,Romantic,"Martinez, Adams and Heath",Hotel,Fiji,3.0
43,2,28,2024-01-28,2026-05-03,1138.94,Saint Kitts and Nevis,Cancelled,826,Eric Fisher,lori87@gmail.com,Saint Helena,2023-05-31,Platinum,63,Business,"Lara, Peterson and Brown",Airline,Faroe Islands,
44,171,30,2023-05-23,2025-07-08,119.82,Qatar,Cancelled,777,Eric Harris,timothyhayes@hotmail.com,Puerto Rico,2022-10-08,Silver,36,Adventure,Williams and Sons,Airline,Liechtenstein,
45,66,22,2023-07-05,2025-06-05,1275.2,Guernsey,Pending,701,Thomas Myers,owolfe@hotmail.com,Lesotho,2022-08-30,Platinum,35,Romantic,Miranda-Walker,Hotel,Papua New Guinea,
46,42,30,2023-07-25,2025-06-13,869.02,Somalia,Pending,689,Jessica Brown,rodriguezsteven@lewis.net,Hungary,2025-03-07,Platinum,38,Romantic,Williams and Sons,Airline,Liechtenstein,4.0
47,102,4,2024-05-12,2026-01-13,254.67,Vietnam,Pending,611,Joseph Strong,ahanson@gutierrez-johnston.com,Luxembourg,2023-04-03,Platinum,69,Business,Nash-Spencer,Hotel,Costa Rica,
48,41,23,2024-11-11,2025-08-14,754.02,United Arab Emirates,Pending,276,Daniel Robinson,tdavis@yahoo.com,Andorra,2025-01-31,Silver,30,Romantic,Figueroa PLC,Hotel,Greenland,4.0
49,71,15,2024-01-25,2026-02-10,407.11,Botswana,Pending,747,Mr. John Blankenship,lpalmer@gmail.com,Poland,2022-07-13,Platinum,54,Adventure,"Martinez, Adams and Heath",Hotel,Fiji,
50,22,19,2023-06-28,2025-10-17,88.83,Panama,Pending,842,Victoria Carter,mialuna@yahoo.com,Sao Tome and Principe,2023-06-01,Bronze,70,Business,Phillips LLC,Hotel,Iceland,2.0
51,40,22,2024-06-25,2025-07-05,1558.23,Guyana,Confirmed,375,Vanessa Johnson,chendonna@hernandez.com,Turkmenistan,2023-03-03,Platinum,39,Business,Miranda-Walker,Hotel,Papua New Guinea,
52,161,9,2024-12-05,2026-01-14,551.88,Rwanda,Pending,405,Gail Brown,patricia14@dawson.com,Azerbaijan,2025-02-24,Silver,25,Adventure,Peck and Sons,Airline,Namibia,
53,181,25,2025-01-03,2026-04-08,1332.19,Ecuador,Pending,460,David Hodges,corey68@gmail.com,China,2023-05-31,Bronze,40,Cultural,"Harris, Mosley and Mcbride",Airline,Saint Martin,2.0
54,138,13,2024-07-30,2025-05-31,1876.63,Lao People's Democratic Republic,Confirmed,305,Heather Welch,hensleyjacqueline@yahoo.com,Ukraine,2022-12-25,Silver,57,Adventure,Barker LLC,Hotel,Mali,
55,42,11,2024-05-13,2025-06-07,1671.93,San Marino,Pending,390,Jessica Brown,rodriguezsteven@lewis.net,Hungary,2025-03-07,Platinum,38,Romantic,"Hawkins, Ward and Wagner",Hotel,Iceland,
56,154,14,2024-12-16,2025-11-08,617.05,Bhutan,Cancelled,327,Emily Glover,pauljones@brown-mayer.com,Turks and Caicos Islands,2024-08-08,Bronze,19,Cultural,Howard Ltd,Airline,Tanzania,
57,131,3,2024-07-06,2025-08-16,1698.66,Lao People's Democratic Republic,Confirmed,406,Sara Meyer,grimesmarie@hotmail.com,Guinea,2024-05-26,Silver,70,Romantic,Mcdonald-Walker,Hotel,Cyprus,4.0
58,22,13,2023-09-15,2026-04-26,628.15,Liberia,Pending,954,Victoria Carter,mialuna@yahoo.com,Sao Tome and Principe,2023-06-01,Bronze,70,Business,Barker LLC,Hotel,Mali,3.0
59,140,1,2023-12-11,2025-12-03,1701.26,Wallis and Futuna,Confirmed,723,Dana Avila,kathrynsmith@ward.com,New Zealand,2023-12-09,Gold,29,Business,Dunn Ltd,Airline,Guernsey,5.0
60,175,27,2024-07-19,2025-09-10,1742.6,Zambia,Cancelled,418,Vincent Cummings,zacharyanderson@carroll-hernandez.com,Iran,2023-10-22,Silver,68,Cultural,"Hunt, Peterson and Chavez",Airline,Turkmenistan,2.0
61,184,26,2023-05-31,2025-12-02,531.14,Thailand,Confirmed,916,April Romero,xfaulkner@gmail.com,Barbados,2025-03-01,Platinum,70,Adventure,"Jackson, Gallagher and Harrison",Airline,United States Virgin Islands,
62,78,29,2024-11-02,2026-02-05,473.13,Bhutan,Pending,460,Matthew Rodriguez,charlesmcneil@bennett.com,Austria,2022-07-01,Bronze,20,Adventure,Collins-Robles,Hotel,Micronesia,4.0
62,78,29,2024-11-02,2026-02-05,473.13,Bhutan,Pending,460,Matthew Rodriguez,charlesmcneil@bennett.com,Austria,2022-07-01,Bronze,20,Adventure,Collins-Robles,Hotel,Micronesia,5.0
63,116,25,2024-04-05,2026-01-14,1946.35,Senegal,Pending,649,Amy Barber,qmendoza@juarez-jackson.com,Brazil,2022-12-27,Gold,32,Relaxation,"Harris, Mosley and Mcbride",Airline,Saint Martin,3.0
64,88,27,2024-01-14,2025-11-12,1730.6,Togo,Confirmed,668,Mark Lambert,sherri11@malone.info,Jordan,2022-06-27,Platinum,20,Cultural,"Hunt, Peterson and Chavez",Airline,Turkmenistan,
65,60,10,2024-05-06,2026-04-07,1225.3,Northern Mariana Islands,Cancelled,701,Lauren Harrison,kpatel@hotmail.com,Angola,2022-12-18,Platinum,61,Relaxation,"Porter, Hampton and Sanchez",Airline,Iran,
66,22,30,2024-09-22,2025-06-14,1474.07,Burundi,Cancelled,265,Victoria Carter,mialuna@yahoo.com,Sao Tome and Principe,2023-06-01,Bronze,70,Business,Williams and Sons,Airline,Liechtenstein,
67,194,29,2024-04-28,2026-03-16,260.3,Madagascar,Confirmed,687,Danielle Mitchell,baileycarter@williams.com,Nauru,2023-03-02,Bronze,19,Romantic,Collins-Robles,Hotel,Micronesia,
68,114,27,2024-06-28,2025-09-17,446.99,Albania,Cancelled,446,Benjamin Smith,davidgonzalez@yahoo.com,Iraq,2024-05-13,Bronze,67,Business,"Hunt, Peterson and Chavez",Airline,Turkmenistan,
69,156,16,2023-10-27,2026-02-03,311.65,Peru,Confirmed,830,Matthew Morgan,waynewarner@norton.com,Angola,2023-02-27,Platinum,40,Adventure,Gonzalez and Sons,Airline,Pakistan,
71,88,15,2023-07-05,2026-05-09,1682.16,Guyana,Pending,1039,Mark Lambert,sherri11@malone.info,Jordan,2022-06-27,Platinum,20,Cultural,"Martinez, Adams and Heath",Hotel,Fiji,
72,48,24,2023-10-21,2025-07-01,148.01,Malta,Cancelled,619,Scott Page,lisanolan@moore.com,Saint Martin,2023-04-09,Bronze,65,Romantic,Gonzalez and Sons,Hotel,Singapore,
73,69,1,2025-02-24,2025-12-20,247.83,Eritrea,Pending,299,Angel Walker,stacey09@yahoo.com,Guinea-Bissau,2024-08-17,Bronze,26,Business,Dunn Ltd,Airline,Guernsey,
74,89,30,2024-12-03,2026-01-01,81.98,Bahamas,Confirmed,394,Mary Smith,hernandezcarolyn@miller-chavez.com,Rwanda,2023-03-28,Bronze,27,Relaxation,Williams and Sons,Airline,Liechtenstein,5.0
74,89,30,2024-12-03,2026-01-01,81.98,Bahamas,Confirmed,394,Mary Smith,hernandezcarolyn@miller-chavez.com,Rwanda,2023-03-28,Bronze,27,Relaxation,Williams and Sons,Airline,Liechtenstein,4.0
75,96,6,2023-07-02,2025-05-24,1745.13,Switzerland,Pending,692,Christopher Hardin,morgangraham@hotmail.com,Vanuatu,2023-08-12,Platinum,57,Romantic,"Gardner, Davis and Weaver",Airline,Peru,
76,160,27,2023-09-15,2026-04-23,1580.97,Costa Rica,Cancelled,951,Gary Hill,qwatson@gmail.com,Turkey,2023-10-15,Gold,47,Relaxation,"Hunt, Peterson and Chavez",Airline,Turkmenistan,
77,68,4,2023-08-01,2026-04-08,519.07,Nepal,Cancelled,981,Erin Brooks,qramos@yahoo.com,Namibia,2023-04-03,Gold,35,Relaxation,Nash-Spencer,Hotel,Costa Rica,4.0
77,68,4,2023-08-01,2026-04-08,519.07,Nepal,Cancelled,981,Erin Brooks,qramos@yahoo.com,Namibia,2023-04-03,Gold,35,Relaxation,Nash-Spencer,Hotel,Costa Rica,1.0
78,113,24,2024-07-28,2025-05-30,429.17,Luxembourg,Cancelled,306,Nicole Richardson,david97@hotmail.com,Grenada,2025-02-24,Silver,41,Cultural,Gonzalez and Sons,Hotel,Singapore,
79,75,15,2025-05-04,2026-03-11,1253.5,Lithuania,Pending,311,Julia Robinson,mcfarlandbenjamin@hotmail.com,Syrian Arab Republic,2022-11-24,Platinum,36,Adventure,"Martinez, Adams and Heath",Hotel,Fiji,
80,133,5,2025-02-05,2026-03-21,1755.55,Hong Kong,Confirmed,409,John Moore,kimberly71@vargas-thompson.biz,Kyrgyz Republic,2024-06-30,Silver,63,Romantic,Ruiz-Dunn,Hotel,Western Sahara,1.0
81,161,27,2024-12-05,2025-06-02,498.16,Syrian Arab Republic,Confirmed,179,Gail Brown,patricia14@dawson.com,Azerbaijan,2025-02-24,Silver,25,Adventure,"Hunt, Peterson and Chavez",Airline,Turkmenistan,
82,105,1,2023-12-15,2026-04-23,477.56,South Africa,Cancelled,860,Christopher Braun,ashley18@stokes-gomez.com,Heard Island and McDonald Islands,2023-05-19,Silver,33,Cultural,Dunn Ltd,Airline,Guernsey,1.0
83,103,18,2024-07-05,2025-06-29,71.01,Guinea,Confirmed,359,Nicole Harrington,ashley55@yahoo.com,Costa Rica,2023-09-28,Silver,36,Romantic,Cooke Inc,Hotel,Colombia,
84,14,13,2024-12-27,2025-08-25,709.19,Albania,Pending,241,David Martinez,ssweeney@hotmail.com,Saint Pierre and Miquelon,2024-03-29,Gold,24,Relaxation,Barker LLC,Hotel,Mali,
85,148,9,2024-10-18,2025-12-08,407.49,Tajikistan,Cancelled,416,Robert Perez,norma99@hotmail.com,Turkmenistan,2022-11-10,Platinum,22,Adventure,Peck and Sons,Airline,Namibia,5.0
85,148,9,2024-10-18,2025-12-08,407.49,Tajikistan,Cancelled,416,Robert Perez,norma99@hotmail.com,Turkmenistan,2022-11-10,Platinum,22,Adventure,Peck and Sons,Airline,Namibia,5.0
86,46,10,2024-10-04,2026-02-11,1051.43,Jersey,Confirmed,495,William Smith,agarcia@harding-wright.biz,Pakistan,2025-03-01,Gold,47,Cultural,"Porter, Hampton and Sanchez",Airline,Iran,3.0
86,46,10,2024-10-04,2026-02-11,1051.43,Jersey,Confirmed,495,William Smith,agarcia@harding-wright.biz,Pakistan,2025-03-01,Gold,47,Cultural,"Porter, Hampton and Sanchez",Airline,Iran,1.0
87,47,20,2024-09-16,2025-09-17,636.88,Belgium,Confirmed,366,Christina Salinas,waltermurphy@yahoo.com,Kyrgyz Republic,2024-11-07,Platinum,35,Romantic,Jones-Yates,Hotel,Eritrea,
88,10,13,2023-12-17,2025-12-15,924.17,South Africa,Cancelled,729,Brittney Jones,david37@bolton-hayes.com,Macao,2023-05-01,Silver,55,Cultural,Barker LLC,Hotel,Mali,1.0
89,195,27,2025-04-11,2026-03-09,553.66,Anguilla,Pending,332,Steven Cole,jessica77@hotmail.com,Germany,2023-05-18,Silver,33,Adventure,"Hunt, Peterson and Chavez",Airline,Turkmenistan,5.0
91,54,22,2024-12-30,2025-11-02,1008.94,Ecuador,Cancelled,307,George Rose,michael39@smith.com,Bahrain,2024-03-24,Bronze,58,Relaxation,Miranda-Walker,Hotel,Papua New Guinea,
92,22,13,2025-02-09,2025-09-06,1524.75,Uganda,Pending,209,Victoria Carter,mialuna@yahoo.com,Sao Tome and Principe,2023-06-01,Bronze,70,Business,Barker LLC,Hotel,Mali,1.0
93,166,20,2023-12-08,2025-10-31,983.41,Monaco,Confirmed,693,Michael Estrada,reidterri@hotmail.com,Namibia,2024-06-12,Platinum,41,Relaxation,Jones-Yates,Hotel,Eritrea,5.0
94,185,16,2024-09-04,2026-04-23,468.82,American Samoa,Cancelled,596,Michael Keith,ucarrillo@gmail.com,Myanmar,2022-12-31,Silver,51,Business,Gonzalez and Sons,Airline,Pakistan,
95,193,11,2023-08-13,2026-04-21,1424.5,Honduras,Confirmed,982,Zachary Allen,mhaas@vargas-grant.com,Finland,2024-10-08,Bronze,37,Adventure,"Hawkins, Ward and Wagner",Hotel,Iceland,
96,109,13,2025-01-16,2025-06-23,1149.66,Faroe Islands,Cancelled,158,Meghan Mosley,bennettjohn@yahoo.com,Mauritius,2023-01-22,Platinum,67,Romantic,Barker LLC,Hotel,Mali,
97,178,13,2025-01-23,2025-06-04,463.28,Svalbard & Jan Mayen Islands,Confirmed,132,Kellie Mcmahon,jacqueline51@gmail.com,Suriname,2024-02-05,Silver,47,Relaxation,Barker LLC,Hotel,Mali,
98,59,22,2024-04-24,2025-08-03,243.4,Bangladesh,Pending,466,William Miller,sarah29@lopez-holmes.info,Philippines,2024-04-15,Bronze,24,Relaxation,Miranda-Walker,Hotel,Papua New Guinea,5.0
99,177,10,2023-06-01,2025-06-11,1183.99,Philippines,Confirmed,741,Dawn Dixon,courtneypatterson@barton.com,Nepal,2025-03-10,Gold,27,Business,"Porter, Hampton and Sanchez",Airline,Iran,1.0
100,101,30,2025-01-18,2026-05-04,730.86,Papua New Guinea,Confirmed,471,Veronica Aguilar,harperleslie@hotmail.com,Tokelau,2022-10-17,Silver,60,Business,Williams and Sons,Airline,Liechtenstein,
101,175,18,2024-08-16,2026-01-27,286.27,Faroe Islands,Confirmed,529,Vincent Cummings,zacharyanderson@carroll-hernandez.com,Iran,2023-10-22,Silver,68,Cultural,Cooke Inc,Hotel,Colombia,
102,19,17,2024-04-17,2025-12-11,961.82,Bahrain,Cancelled,603,Christopher Murray,omorgan@yahoo.com,Macedonia,2022-10-02,Platinum,66,Romantic,Hernandez-House,Hotel,Suriname,
103,147,6,2024-01-06,2026-04-16,368.55,Zimbabwe,Cancelled,831,Erica Navarro,jwood@hotmail.com,Macao,2025-01-13,Silver,39,Romantic,"Gardner, Davis and Weaver",Airline,Peru,3.0
103,147,6,2024-01-06,2026-04-16,368.55,Zimbabwe,Cancelled,831,Erica Navarro,jwood@hotmail.com,Macao,2025-01-13,Silver,39,Romantic,"Gardner, Davis and Weaver",Airline,Peru,2.0
104,85,28,2024-10-28,2026-04-05,1256.43,Kazakhstan,Cancelled,524,Catherine Bailey,johnsmith@juarez.com,Svalbard & Jan Mayen Islands,2024-03-17,Silver,58,Romantic,"Lara, Peterson and Brown",Airline,Faroe Islands,
105,2,13,2023-08-31,2025-05-29,1693.03,Bermuda,Pending,637,Eric Fisher,lori87@gmail.com,Saint Helena,2023-05-31,Platinum,63,Business,Barker LLC,Hotel,Mali,
106,145,22,2024-05-23,2025-06-09,1700.38,Guinea-Bissau,Cancelled,382,Richard Taylor,traviscook@hotmail.com,Samoa,2023-07-07,Silver,26,Cultural,Miranda-Walker,Hotel,Papua New Guinea,5.0
107,29,5,2023-10-11,2025-08-22,1164.25,Uruguay,Confirmed,681,Mr. Luis Carter MD,victoria58@ball.com,Dominican Republic,2024-04-17,Gold,22,Romantic,Ruiz-Dunn,Hotel,Western Sahara,
108,158,12,2025-03-10,2025-08-31,1351.72,Bangladesh,Confirmed,174,Steven Watson,mcooper@coleman.com,Ecuador,2024-11-15,Gold,61,Adventure,Hernandez Group,Airline,Monaco,
109,26,11,2023-10-16,2026-03-24,1583.39,Tanzania,Confirmed,890,Kevin Kerr,patriciajames@king.info,Malaysia,2023-08-24,Silver,66,Adventure,"Hawkins, Ward and Wagner",Hotel,Iceland,4.0
110,173,23,2025-02-07,2025-08-26,1554.25,Martinique,Confirmed,200,Donald Burns,scott13@williams.com,Madagascar,2023-12-12,Bronze,44,Adventure,Figueroa PLC,Hotel,Greenland,
111,41,26,2024-02-02,2026-02-26,941.99,Mozambique,Confirmed,755,Daniel Robinson,tdavis@yahoo.com,Andorra,2025-01-31,Silver,30,Romantic,"Jackson, Gallagher and Harrison",Airline,United States Virgin Islands,
113,34,23,2024-10-17,2025-08-29,579.84,Burundi,Cancelled,316,Dominic Sanchez,brandon24@yahoo.com,Korea,2024-06-22,Platinum,66,Romantic,Figueroa PLC,Hotel,Greenland,
114,57,3,2023-10-24,2026-03-27,1688.18,Nigeria,Confirmed,885,Sean Meyers,anitarodriguez@hotmail.com,Japan,2025-02-04,Bronze,30,Adventure,Mcdonald-Walker,Hotel,Cyprus,2.0
115,182,23,2024-12-23,2025-09-19,1442.08,Slovenia,Confirmed,270,Christopher Smith,orios@bailey.com,Jamaica,2024-05-18,Platinum,45,Business,Figueroa PLC,Hotel,Greenland,
116,38,10,2024-01-09,2025-12-01,1352.43,Nauru,Confirmed,692,Christopher Watson,victor04@montgomery.biz,Andorra,2024-07-22,Silver,60,Business,"Porter, Hampton and Sanchez",Airline,Iran,3.0
117,132,2,2025-03-11,2025-12-12,682.75,Ukraine,Pending,276,Tiffany Mueller,powersvicki@gmail.com,Gibraltar,2023-01-15,Gold,52,Romantic,Watts PLC,Hotel,Tuvalu,
118,84,24,2025-01-24,2025-09-04,165.35,Aruba,Cancelled,223,Dr. Curtis Miller Jr.,iluna@yahoo.com,Senegal,2022-10-13,Silver,61,Romantic,Gonzalez and Sons,Hotel,Singapore,
119,114,1,2024-08-28,2026-02-25,699.25,Cape Verde,Pending,546,Benjamin Smith,davidgonzalez@yahoo.com,Iraq,2024-05-13,Bronze,67,Business,Dunn Ltd,Airline,Guernsey,1.0
120,195,19,2024-04-11,2025-11-11,1490.02,United Kingdom,Confirmed,579,Steven Cole,jessica77@hotmail.com,Germany,2023-05-18,Silver,33,Adventure,Phillips LLC,Hotel,Iceland,
121,47,4,2024-01-06,2025-07-01,1368.11,Samoa,Pending,542,Christina Salinas,waltermurphy@yahoo.com,Kyrgyz Republic,2024-11-07,Platinum,35,Romantic,Nash-Spencer,Hotel,Costa Rica,
122,127,14,2024-07-06,2025-09-26,280.9,Aruba,Confirmed,447,Raymond Armstrong,omoore@hotmail.com,Pitcairn Islands,2023-12-16,Silver,60,Adventure,Howard Ltd,Airline,Tanzania,
